cluster,segment code,segment,Family code,Family                   ,MC. Desc            ,Class code,Class                 ,Brick code,Brick,Article Code,UOM,foodcouponaccepted,weightedItem,speciality,finiteinventory,Desc,Sarla Grand,Super Vidyaranyanpur,Ascendas Park,Vijaynagar TTMC,L3 code,L3,L2 Code,L2,L1 code,L1,,RRP,MRP1,MRP2,MRP3,MRP4,MRP5
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,490000029,kg,TRUE,TRUE,FALSE,TRUE,LION DATES WET 200 g PP                 ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,38,38,35,33,26,26.5
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,490000031,kg,TRUE,TRUE,FALSE,TRUE,LION DATES WET 500 g PP                 ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,85,85,95,65,68,91
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,490007415,kg,TRUE,TRUE,FALSE,TRUE,LION DATES SYRUP 250 g BTL              ,Y,Y,Y,Y,322,Syrups & Juices,32,Health Drinks,3,Drinks,Save 2 %,90,90,86,85,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,490479103,kg,TRUE,TRUE,FALSE,TRUE,DATE CROWN FARDH 250 g PP               ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,98,98,70,95,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,490479104,kg,TRUE,TRUE,FALSE,TRUE,DATE CROWN FARD 500 g PP                ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,180,180,150,130,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,490710205,kg,TRUE,TRUE,FALSE,TRUE,LION DATES SEEDED PACKETS 500 g PP      ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,BUY 1 GET 1 FREE,122,122,112,125,92,0
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,490870362,kg,TRUE,TRUE,FALSE,TRUE,DATE CROWN BUMAAN 500 g PP              ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,190,190,170,85,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,490884032,kg,TRUE,TRUE,FALSE,TRUE,LION SEEDED DATES 200 g PP              ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,,59,59,65,55,47,100
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,491160980,kg,TRUE,TRUE,FALSE,TRUE,EMPEROR DATES SEEDED 500 g PP           ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,126,126,126,0,0,0
CLU001,18,Staples,1801,DRY FRUITS               ,DATES               ,180101,DRY FRUITS            ,180101003,ALMONDS             ,491186637,kg,TRUE,TRUE,FALSE,TRUE,GOOD LIFE DATES DRY CHUAWARA 200 g PP   ,Y,Y,Y,Y,144,Dates & Dried Fruits,14,Dry Fruits,1,Confectionery & Snacks,Save 2 %,59,60,60,0,0,0
